Area,BonusMalus,DrivAge,VehAge,VehBrand,VehPower,ClaimNb,Exposure
D,50,53,2,B12,12,0,0.24
E,90,30,1,B12,4,0,0.05
E,76,42,7,B2,4,0,0.08
D,68,31,10,B4,7,0,0.96
D,57,35,9,B2,5,0,0.29
C,57,32,10,B1,9,0,0.3
C,50,51,0,B12,4,0,0.75
C,80,58,1,B12,7,0,0.09
C,100,25,3,B2,5,0,0.39
E,50,46,8,B2,7,0,0.05
E,50,39,4,B2,5,0,1
D,50,42,7,B5,5,0,1
D,67,35,10,B2,6,0,0.29
D,50,38,12,B2,4,0,0.24
D,64,29,7,B6,5,0,0.6
C,51,31,2,B3,6,0,1
B,50,49,4,B3,10,0,1
E,80,26,10,B1,6,0,0.79
E,85,48,4,B12,5,0,0.87
E,90,25,1,B12,6,0,0.03
C,100,20,2,B2,5,0,0.49
C,68,26,1,B12,8,0,0.43
D,76,25,1,B12,4,0,0.57
C,50,63,3,B12,4,0,0.54
D,50,45,8,B5,6,0,0.85
C,50,44,2,B12,4,0,0.48
D,76,25,9,B1,7,0,0.03
D,50,41,0,B12,7,0,0.16
E,51,40,10,B3,6,0,0.27
E,61,68,0,B5,4,0,0.13
E,50,52,10,B12,4,0,0.07
D,50,54,0,B12,7,0,0.03
D,50,48,2,B12,7,0,0.37
D,72,37,10,B2,5,0,0.08
D,54,34,0,B12,7,0,0.31
E,57,32,3,B2,6,0,0.08
D,50,59,4,B12,7,0,0.35
A,80,28,3,B4,10,1,0.42
E,71,29,4,B2,5,0,0.5
C,95,43,0,B12,6,0,0.46
C,57,38,9,B3,6,0,0.08
C,50,55,3,B12,5,0,0.07
D,68,33,12,B2,5,0,0.49
C,76,34,13,B1,9,0,0.03
C,50,52,1,B5,6,0,1
E,57,31,13,B3,6,0,0.27
E,85,28,6,B6,7,0,0.08
D,50,48,0,B12,8,0,0.1
E,95,29,5,B5,6,0,0.33
E,50,44,1,B12,4,0,0.53
D,55,69,0,B12,4,0,0.12
D,90,30,9,B5,5,0,0.07
E,54,41,0,B12,4,0,0.04
E,66,48,10,B2,7,0,0.07
D,90,34,6,B4,5,0,0.08
E,76,30,3,B12,6,0,0.2
C,50,67,19,B1,7,0,0.08
D,95,24,10,B2,5,0,0.79
E,50,62,2,B1,8,0,1.03
C,72,35,14,B1,9,0,0.52
C,50,51,0,B12,8,1,0.08
C,76,32,4,B2,6,0,0.08
C,57,39,2,B12,7,0,0.35
D,51,50,15,B1,9,0,0.91
E,72,30,1,B12,7,0,0.77
C,72,33,20,B1,5,0,0.01
C,68,32,6,B2,6,0,0.13
D,50,68,6,B2,5,0,1
E,76,31,2,B12,7,0,0.7
E,50,54,10,B3,5,0,1
E,57,39,2,B1,4,0,0.07
D,50,44,0,B1,6,0,0.16
C,50,39,1,B1,6,0,0.16
C,50,53,3,B12,7,0,0.46
C,50,54,15,B12,10,0,0.43
D,50,60,7,B1,6,0,0.98
A,68,26,2,B12,6,0,1.75
D,50,72,0,B12,6,1,0.01
D,63,33,9,B1,7,0,0.26
